ID,Title,Url,Summary,Year,DeveloperName,DeveloperID,GameID,1,Tetris,https://www.igdb.com/games/tetris,"Tetris is a tile-matching puzzle video game. The goal is to place pieces made up of four tiles in a ten-by-twenty well, organizing them into complete rows, which then disappear. The main objective of each round is to clear 25 lines, after which the player moves on to the next round. If the stack reaches the top of the field, the player loses a life, and if all three lives are lost, the game is over.

The game lets the player choose the starting stage and round, as well as one of three background tunes. Difficulty is increased throughout the stages by an increase in speed and the addition of garbage blocks in the well.",1989,Nintendo,70,8197
169,Tecmo Bowl (Series),https://www.igdb.com/games/tecmo-bowl,"A side-scrolling, four-player American football game that can be played as two-on-two, one-on-two, etc. The game is somewhat primitive in that there is no play pattern selection; only the receiver can be selected before play begins. One player controls the QB, the other plays the wide receiver/running back.",1987,"Tecmo Co., Ltd.",2020,8168
170,Age of Empires II: The Age of Kings,https://www.igdb.com/games/age-of-empires-ii-the-age-of-kings,"Take control of a powerful civilization. Lead them through 1000 years of the Middle Ages to riches and greatness. Will you Intimidate the world into following you by using military force? Rule the world with honor and nobility by using commerce and diplomacy? Or Underhandedly seize power through conspiracy, deception and regicide? There are many paths to power, there can only be one ruler!",1999,Ensemble Studios,68,327
171,Gran Turismo 3: A-Spec,https://www.igdb.com/games/gran-turismo-3-a-spec,"More than two years in the making, Gran Turismo 3 A-spec features over 150 detailed cars -- each composed of more than 4,000 polygons -- 60 beginner, amateur and professional championship races, as well as ten endurance races and ten rally races. In addition to all-new special effects, such as sun glare, heat distortion and reflections, Gran Turismo 3 A-spec also offers up a soundtrack of more than 20 licensed tracks, and an even better replay mode with TV-style camera views. Two players can go head-to-head via split-screen and up to six can duke it out by linking multiple systems together via i.LINK. Released worldwide in 2001, Gran Turismo 3 a-Spec was designed by Polyphony Digital.",2001,Polyphony Digital,884,1600
172,Halo 3,https://www.igdb.com/games/halo-3,"Halo 3 is a shooter game where players primarily experience gameplay from a first-person perspective. Much of the gameplay takes place on foot, but also includes segments focused on vehicular combat. The balance of weapons and objects in the game was adjusted to better adhere to the ""Golden Triangle of Halo"": these are weapons, grenades, and melee attacks, which are available to a player in most situations. Players may dual-wield some weapons, forgoing the use of grenades and melee attacks in favor of the combined firepower of two weapons. Many weapons available in previous installments of the series return with minor cosmetic and power alterations. Unlike previous installments, the player's secondary weapon is visible on their player model, holstered or slung across the player's back.
Halo 3 introduces ""support weapons"", which are cumbersome two-handed weapons that slow the player, but offer greatly increased firepower in return. In addition to weapons, the game contains a new class of gear called equipment; these items have various effects, ranging from defensive screens to shield regeneration and flares. Only one piece of equipment can be carried at a time. The game's vehicular component has been expanded with new drivable and AI-only vehicles.",2007,Bungie,620,987
173,"Legend of Zelda, The: Link’s Awakening",https://www.igdb.com/games/the-legend-of-zelda-links-awakening,"The Legend of Zelda: Link's Awakening is the first title in the series to be released on a handheld system and the only Zelda title on the original Game Boy. The gameplay is mostly similar to its predecessor with a top-down perspective, however there are short sections in dungeons where the game switches to a side-scrolling view with platforming elements. For this new adventure, Link must go onto each of the 7 temples to retrieve a musical instrument that will help awaken the Wind Fish. Along the way, he must search the land and uncover hidden treasures and items that will allow him to progress on his journey. Since its release, Link's Awakening has been popular among fans and critics.",1993,Nintendo EAD,421,1028
174,Ultima Online,https://www.igdb.com/games/ultima-online,"Ultima Online is the product of Richard Garriott's idea for a fantasy game involving several thousand people who can all play in a shared fantasy world. It is responsible for grandfathering the genre of the MMO, and showing the industry that MMO's were the next era of gaming.",1997,Origin Systems,295,3126
175,Halo 2,https://www.igdb.com/games/halo-2,"Halo 2 is the sequel to the highly successful and critically acclaimed Halo: Combat Evolved. In Halo 2, the saga continues as Master Chief—a genetically enhanced super-soldier—is the only thing standing between the relentless Covenant and the destruction of all humankind.",2004,Bungie,620,986
176,XCOM: Enemy Unknown,https://www.igdb.com/games/xcom-enemy-unknown,"XCOM: Enemy Unknown will place you in control of a secret paramilitary organization called XCOM. As the XCOM commander, you will defend against a terrifying global alien invasion by managing resources, advancing technologies, and overseeing combat strategies and individual unit tactics.
The original XCOM is widely regarded as one of the best games ever made and has now been re-imagined by the strategy experts at Firaxis Games. XCOM: Enemy Unknown will expand on that legacy with an entirely new invasion story, enemies and technologies to fight aliens and defend Earth.
You will control the fate of the human race through researching alien technologies, creating and managing a fully operational base, planning combat missions and controlling soldier movement in battle.",2012,Firaxis Games,377,1318
177,Final Fantasy IV (AKA Final Fantasy II [US]),https://www.igdb.com/games/final-fantasy-iv--1,"FINAL FANTASY IV is the fourth main installment in the FINAL FANTASY series, developed and published by Squaresoft. It was released in July 1991 for the Super Nintendo Entertainment System in Japan, and released as FINAL FANTASY II in North America in October 1991 with alterations made due to Nintendo of America's guidelines at the time.

The game saw a rerelease in Japan on the WonderSwan Color and a global release on PlayStation under its original name as part of the FINAL FANTASY CHRONICLES and FINAL FANTASY ANTHOLOGY collections.",1991,Square,250,16587
178,"Oregon Trail, The",https://www.igdb.com/games/the-oregon-trail,"The Oregon Trail is a computer game originally developed by Don Rawitsch, Bill Heinemann, and Paul Dillenberger in 1971 and produced by the Minnesota Educational Computing Consortium (MECC) in 1974. The original game was designed to teach school children about the realities of 19th century pioneer life on the Oregon Trail. The player assumes the role of a wagon leader guiding his or her party of settlers from Independence, Missouri, to Oregon's Willamette Valley on the Oregon Trail via a covered wagon in 1848.",1971,MECC,1087,11325
